section,metric,value,unit
catalog,total_records,208,count
lifecycle_status,active,202,count
lifecycle_status,hidden,2,count
lifecycle_status,observing,4,count
probe_outcome,endpoint_failed,2,count
probe_outcome,method_not_tested,3,count
probe_outcome,probe_inconclusive,1,count
probe_outcome,protocol_verified,202,count
payment_terms_status,historical_snapshot,3,count
payment_terms_status,manual_review_required,3,count
payment_terms_status,verified_current,202,count
paid_delivery_status,not_tested,208,count
protocol_compatibility,legacy_or_noncanonical,32,count
protocol_compatibility,not_verified,6,count
protocol_compatibility,standard_x402_v2,170,count
time_spaced_screening,candidates,10,count
time_spaced_screening,time_spaced_passes,0,count
time_spaced_screening,paid_test_eligible,0,count
time_spaced_screening,round_1_minimum_offset,0,hours
time_spaced_screening,round_1_maximum_offset,0,hours
time_spaced_screening,round_2_minimum_offset,14.282,hours
time_spaced_screening,round_2_maximum_offset,14.283,hours
time_spaced_status,deep_screen_pending,9,count
time_spaced_status,method_not_tested,1,count
paid_delivery,paid_calls,0,count
paid_delivery,succeeded,0,count
paid_delivery,failed,0,count
paid_delivery,ambiguous,0,count
paid_delivery,success_rate,,percent
status_changes,recorded_changes,0,count
